,ServiceNo,BusStopCode,Direction
0,972,44791,1
1,972,44801,1
2,972,44861,1
3,972,44811,1
4,972,44821,1
5,972,44661,1
6,972,44611,1
7,972,44701,1
8,972,44691,1
9,972,44771,1
10,972,44349,1
11,972,44339,1
12,972,44329,1
13,972,44261,1
14,972,40239,1
15,972,40229,1
16,972,40219,1
17,972,40209,1
18,972,40199,1
19,972,09219,1
20,972,09047,1
21,972,09037,1
22,972,08138,1
23,972,08057,1
24,972,08041,1
25,972,08031,1
26,972,08111,1
27,972,08121,1
28,972,09011,1
29,972,09023,1
30,972,09213,1
31,972,40191,1
32,972,40201,1
33,972,40211,1
34,972,40221,1
35,972,40231,1
36,972,44269,1
37,972,44321,1
38,972,44331,1
39,972,44341,1
40,972,44779,1
41,972,44699,1
42,972,44709,1
43,972,44619,1
44,972,44669,1
45,972,44829,1
46,972,44819,1
47,972,44869,1
48,972,44809,1
49,972,44799,1
50,972,44649,1
51,972,44639,1
